Dataset,BF_Time(s),BF_Matches,BM_Time(s),BM_Matches,KMP_Time(s),KMP_Matches,RK_Time(s),RK_Matches
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,0.74029,2,0.51319,2,0.639935,2,0.0,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,0.566784,2,0.511899,2,0.594551,2,0.0,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,0.561935,2,0.521546,2,0.591775,2,0.0,2
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,0.565077,3,0.512812,3,0.585531,3,0.0,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,0.585526,3,0.517175,3,0.601615,3,0.0,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,0.567391,3,0.509597,3,0.598729,3,0.0,3
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,0.565978,4,0.520323,4,0.593257,4,0.0,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,0.566217,4,0.510283,4,0.588611,4,0.0,4
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,0.565555,4,0.510729,4,0.588685,4,0.0,4
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,0.573364,5,0.50941,5,0.588969,5,0.0,5
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,0.571412,5,0.519874,5,0.59167,5,0.0,5
density_pattern_len64_pattern.txt vs density_case_011_d3.59e-06_text.txt,0.564242,6,0.513139,6,0.579401,6,0.0,6
density_pattern_len64_pattern.txt vs density_case_012_d4.04e-06_text.txt,0.576019,7,0.515365,7,0.589253,7,0.0,7
density_pattern_len64_pattern.txt vs density_case_013_d4.53e-06_text.txt,0.585157,8,0.515017,8,0.589021,8,0.0,8
density_pattern_len64_pattern.txt vs density_case_014_d5.09e-06_text.txt,0.571816,8,0.523199,8,0.590353,8,0.0,8
density_pattern_len64_pattern.txt vs density_case_015_d5.72e-06_text.txt,0.566509,9,0.5119,9,0.602292,9,0.0,9
density_pattern_len64_pattern.txt vs density_case_016_d6.43e-06_text.txt,0.566192,11,0.521054,11,0.590656,11,0.0,11
density_pattern_len64_pattern.txt vs density_case_017_d7.22e-06_text.txt,0.56781,12,0.512842,12,0.593607,12,0.0,12
density_pattern_len64_pattern.txt vs density_case_018_d8.11e-06_text.txt,0.567042,13,0.51813,13,0.59459,13,0.0,13
density_pattern_len64_pattern.txt vs density_case_019_d9.11e-06_text.txt,0.569925,15,0.515749,15,0.592232,15,0.0,15
density_pattern_len64_pattern.txt vs density_case_020_d1.02e-05_text.txt,0.5648,16,0.529416,16,0.588922,16,0.0,16
density_pattern_len64_pattern.txt vs density_case_021_d1.15e-05_text.txt,0.570759,18,0.517252,18,0.595669,18,0.0,18
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,0.568941,21,0.512594,21,0.589544,21,0.0,21
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,0.582152,23,0.518074,23,0.583461,23,0.0,23
