Dataset,BF_Time(s),BF_Matches,BM_Time(s),BM_Matches,KMP_Time(s),KMP_Matches,RK_Time(s),RK_Matches
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,0.079906,2,0.030417,2,0.102912,2,0.324415,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,0.079823,2,0.030583,2,0.102432,2,0.324204,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,0.080106,2,0.030314,2,0.102501,2,0.324508,2
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,0.07928,3,0.030367,3,0.102535,3,0.32417,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,0.079851,3,0.030192,3,0.103093,3,0.324357,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,0.07967,3,0.030369,3,0.102376,3,0.324735,3
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,0.080166,4,0.03056,4,0.102246,4,0.325169,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,0.079951,4,0.030457,4,0.10314,4,0.3242,4
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,0.080305,4,0.030455,4,0.103257,4,0.325278,4
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,0.079856,5,0.030349,5,0.102654,5,0.323622,5
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,0.081259,5,0.030367,5,0.102216,5,0.32485,5
density_pattern_len64_pattern.txt vs density_case_011_d3.59e-06_text.txt,0.083756,6,0.030468,6,0.103318,6,0.324368,6
density_pattern_len64_pattern.txt vs density_case_012_d4.04e-06_text.txt,0.079975,7,0.030196,7,0.103411,7,0.323999,7
density_pattern_len64_pattern.txt vs density_case_013_d4.53e-06_text.txt,0.080655,8,0.030212,8,0.102952,8,0.32436,8
density_pattern_len64_pattern.txt vs density_case_014_d5.09e-06_text.txt,0.080033,8,0.030531,8,0.102983,8,0.323979,8
density_pattern_len64_pattern.txt vs density_case_015_d5.72e-06_text.txt,0.080251,9,0.030553,9,0.102171,9,0.324675,9
density_pattern_len64_pattern.txt vs density_case_016_d6.43e-06_text.txt,0.080774,11,0.030358,11,0.10293,11,0.324303,11
density_pattern_len64_pattern.txt vs density_case_017_d7.22e-06_text.txt,0.0805,12,0.030399,12,0.102536,12,0.324294,12
density_pattern_len64_pattern.txt vs density_case_018_d8.11e-06_text.txt,0.080067,13,0.030478,13,0.1026,13,0.325129,13
density_pattern_len64_pattern.txt vs density_case_019_d9.11e-06_text.txt,0.080349,15,0.030433,15,0.102455,15,0.324553,15
density_pattern_len64_pattern.txt vs density_case_020_d1.02e-05_text.txt,0.080202,16,0.03039,16,0.102391,16,0.324862,16
density_pattern_len64_pattern.txt vs density_case_021_d1.15e-05_text.txt,0.079864,18,0.030677,18,0.103221,18,0.324098,18
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,0.084177,21,0.030409,21,0.102638,21,0.324444,21
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,0.0802,23,0.030369,23,0.102453,23,0.327686,23
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,0.080187,26,0.03047,26,0.102469,26,0.324171,26
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,0.08473,29,0.030363,29,0.103048,29,0.324216,29
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,0.080532,33,0.030437,33,0.102758,33,0.324364,33
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,0.080132,37,0.030404,37,0.102719,37,0.323836,37
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,0.079921,41,0.030412,41,0.103148,41,0.324222,41
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,0.080175,46,0.030387,46,0.102396,46,0.32442,46
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,0.080266,52,0.03035,52,0.102876,52,0.325324,52
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,0.080253,58,0.030413,58,0.102471,58,0.32449,58
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,0.07974,65,0.030481,65,0.103075,65,0.324049,65
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,0.079823,73,0.030311,73,0.123957,73,0.324333,73
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,0.08,82,0.030351,82,0.103676,82,0.324614,82
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,0.079994,92,0.030343,92,0.10272,92,0.324351,92
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,0.079717,103,0.030336,103,0.10245,103,0.324893,103
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,0.080403,116,0.030572,116,0.102325,116,0.324152,116
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,0.079681,130,0.030486,130,0.102773,130,0.324615,130
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,0.079792,146,0.030305,146,0.102687,146,0.324512,146
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,0.079667,164,0.030325,164,0.10264,164,0.323571,164
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,0.079677,184,0.030557,184,0.102211,184,0.323838,184
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,0.079997,207,0.030419,207,0.102408,207,0.324309,207
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,0.079867,233,0.030341,233,0.102591,233,0.324346,233
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,0.079592,261,0.030419,261,0.103091,261,0.324508,261
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,0.07965,293,0.03025,293,0.103472,293,0.324297,293
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,0.080681,329,0.030378,329,0.102747,329,0.324258,329
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,0.079533,370,0.030361,370,0.102856,370,0.324552,370
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,0.079689,415,0.03055,415,0.102471,415,0.324301,415
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,0.079562,467,0.030357,467,0.10311,467,0.325015,467
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,0.080156,524,0.030517,524,0.102733,524,0.322541,524
density_pattern_len64_pattern.txt vs density_case_051_d3.76e-04_text.txt,0.079545,589,0.030507,589,0.102778,589,0.324312,589
density_pattern_len64_pattern.txt vs density_case_052_d4.23e-04_text.txt,0.079695,661,0.030338,661,0.102308,661,0.323891,661
density_pattern_len64_pattern.txt vs density_case_053_d4.75e-04_text.txt,0.079652,743,0.030333,743,0.102765,743,0.324298,743
density_pattern_len64_pattern.txt vs density_case_054_d5.34e-04_text.txt,0.079665,834,0.030399,834,0.102847,834,0.32267,834
density_pattern_len64_pattern.txt vs density_case_055_d5.99e-04_text.txt,0.079463,937,0.030637,937,0.102749,937,0.324804,937
density_pattern_len64_pattern.txt vs density_case_056_d6.73e-04_text.txt,0.079349,1053,0.030519,1053,0.103357,1053,0.3258,1053
density_pattern_len64_pattern.txt vs density_case_057_d7.56e-04_text.txt,0.079697,1182,0.030348,1182,0.102404,1182,0.323534,1182
density_pattern_len64_pattern.txt vs density_case_058_d8.50e-04_text.txt,0.079601,1328,0.030345,1328,0.10252,1328,0.324963,1328
density_pattern_len64_pattern.txt vs density_case_059_d9.55e-04_text.txt,0.079902,1492,0.030305,1492,0.103125,1492,0.323205,1492
density_pattern_len64_pattern.txt vs density_case_060_d1.07e-03_text.txt,0.079683,1676,0.030312,1676,0.102515,1676,0.323698,1676
density_pattern_len64_pattern.txt vs density_case_061_d1.20e-03_text.txt,0.079586,1883,0.03034,1883,0.102121,1883,0.323291,1883
density_pattern_len64_pattern.txt vs density_case_062_d1.35e-03_text.txt,0.079746,2115,0.03047,2115,0.102573,2115,0.323279,2115
density_pattern_len64_pattern.txt vs density_case_063_d1.52e-03_text.txt,0.079712,2375,0.030222,2375,0.103833,2375,0.323138,2375
density_pattern_len64_pattern.txt vs density_case_064_d1.71e-03_text.txt,0.079639,2668,0.03034,2668,0.102078,2668,0.323065,2668
density_pattern_len64_pattern.txt vs density_case_065_d1.92e-03_text.txt,0.079536,2997,0.030471,2997,0.102581,2997,0.322578,2997
density_pattern_len64_pattern.txt vs density_case_066_d2.15e-03_text.txt,0.079733,3367,0.030268,3367,0.102668,3367,0.322955,3367
density_pattern_len64_pattern.txt vs density_case_067_d2.42e-03_text.txt,0.079693,3782,0.030428,3782,0.102492,3782,0.32402,3782
density_pattern_len64_pattern.txt vs density_case_068_d2.72e-03_text.txt,0.079564,4248,0.030229,4248,0.102561,4248,0.322721,4248
density_pattern_len64_pattern.txt vs density_case_069_d3.05e-03_text.txt,0.079645,4772,0.030814,4772,0.102837,4772,0.324558,4772
density_pattern_len64_pattern.txt vs density_case_070_d3.43e-03_text.txt,0.079501,5361,0.030355,5361,0.10283,5361,0.325047,5361
density_pattern_len64_pattern.txt vs density_case_071_d3.85e-03_text.txt,0.079593,6022,0.031581,6022,0.10271,6022,0.324222,6022
density_pattern_len64_pattern.txt vs density_case_072_d4.33e-03_text.txt,0.079523,6764,0.030123,6764,0.102912,6764,0.323933,6764
density_pattern_len64_pattern.txt vs density_case_073_d4.86e-03_text.txt,0.079927,7598,0.030185,7598,0.10231,7598,0.322439,7598
density_pattern_len64_pattern.txt vs density_case_074_d5.46e-03_text.txt,0.079735,8535,0.030475,8535,0.101946,8535,0.324251,8535
