Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,Sequential,1.370027,2
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,MPI (4),0.324415,2
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,CUDA,0.0,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,Sequential,1.372979,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,MPI (4),0.324204,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,CUDA,0.0,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,Sequential,1.367868,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,MPI (4),0.324508,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,CUDA,0.0,2
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,Sequential,1.369621,3
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,MPI (4),0.32417,3
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,CUDA,0.0,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,Sequential,1.369495,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,MPI (4),0.324357,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,CUDA,0.0,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,Sequential,1.377354,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,MPI (4),0.324735,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,CUDA,0.0,3
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,Sequential,1.369841,4
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,MPI (4),0.325169,4
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,CUDA,0.0,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,Sequential,1.371481,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,MPI (4),0.3242,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,CUDA,0.0,4
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,Sequential,1.370338,4
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,MPI (4),0.325278,4
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,CUDA,0.0,4
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,Sequential,1.368693,5
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,MPI (4),0.323622,5
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,CUDA,0.0,5
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,Sequential,1.367788,5
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,MPI (4),0.32485,5
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,CUDA,0.0,5
