Dataset,BF_Time(s),BF_Matches,BM_Time(s),BM_Matches,KMP_Time(s),KMP_Matches,RK_Time(s),RK_Matches
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,0.338513,2,0.089844,2,0.355207,2,1.370027,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,0.339256,2,0.089849,2,0.355057,2,1.372979,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,0.338565,2,0.089803,2,0.354453,2,1.367868,2
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,0.344365,3,0.089631,3,0.354697,3,1.369621,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,0.338478,3,0.089981,3,0.354388,3,1.369495,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,0.338924,3,0.08986,3,0.354618,3,1.377354,3
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,0.347343,4,0.089958,4,0.355711,4,1.369841,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,0.342014,4,0.090008,4,0.354052,4,1.371481,4
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,0.342963,4,0.09005,4,0.35461,4,1.370338,4
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,0.343994,5,0.089864,5,0.354299,5,1.368693,5
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,0.344893,5,0.089823,5,0.355511,5,1.367788,5
density_pattern_len64_pattern.txt vs density_case_011_d3.59e-06_text.txt,0.346559,6,0.089993,6,0.35431,6,1.37133,6
density_pattern_len64_pattern.txt vs density_case_012_d4.04e-06_text.txt,0.343616,7,0.090152,7,0.354328,7,1.369479,7
density_pattern_len64_pattern.txt vs density_case_013_d4.53e-06_text.txt,0.346877,8,0.089783,8,0.354095,8,1.371047,8
density_pattern_len64_pattern.txt vs density_case_014_d5.09e-06_text.txt,0.34233,8,0.090029,8,0.354291,8,1.370188,8
density_pattern_len64_pattern.txt vs density_case_015_d5.72e-06_text.txt,0.351338,9,0.089917,9,0.354543,9,1.371125,9
density_pattern_len64_pattern.txt vs density_case_016_d6.43e-06_text.txt,0.345728,11,0.089934,11,0.35415,11,1.369922,11
density_pattern_len64_pattern.txt vs density_case_017_d7.22e-06_text.txt,0.342197,12,0.089977,12,0.354258,12,1.371666,12
density_pattern_len64_pattern.txt vs density_case_018_d8.11e-06_text.txt,0.344259,13,0.089872,13,0.357535,13,1.371921,13
density_pattern_len64_pattern.txt vs density_case_019_d9.11e-06_text.txt,0.342679,15,0.089807,15,0.354215,15,1.369846,15
density_pattern_len64_pattern.txt vs density_case_020_d1.02e-05_text.txt,0.343664,16,0.090827,16,0.354614,16,1.369066,16
density_pattern_len64_pattern.txt vs density_case_021_d1.15e-05_text.txt,0.34209,18,0.089999,18,0.357166,18,1.369376,18
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,0.343492,21,0.090082,21,0.355214,21,1.374678,21
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,0.342479,23,0.089963,23,0.354951,23,1.371117,23
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,0.345884,26,0.089875,26,0.366072,26,1.370569,26
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,0.342665,29,0.089738,29,0.355095,29,1.373095,29
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,0.344157,33,0.089841,33,0.356018,33,1.422156,33
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,0.341529,37,0.089899,37,0.357183,37,1.42343,37
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,0.341626,41,0.089823,41,0.354409,41,1.399425,41
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,0.354163,46,0.089848,46,0.354006,46,1.371853,46
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,0.342195,52,0.090483,52,0.354515,52,1.369442,52
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,0.340713,58,0.090037,58,0.355309,58,1.376324,58
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,0.339253,65,0.089755,65,0.354571,65,1.377968,65
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,0.338071,73,0.090025,73,0.354426,73,1.378125,73
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,0.339945,82,0.089944,82,0.355092,82,1.371547,82
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,0.33845,92,0.090014,92,0.354972,92,1.36954,92
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,0.338047,103,0.090652,103,0.354632,103,1.369819,103
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,0.338907,116,0.090087,116,0.35447,116,1.369497,116
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,0.338226,130,0.089992,130,0.354577,130,1.374142,130
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,0.339079,146,0.090005,146,0.354452,146,1.37023,146
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,0.344088,164,0.090241,164,0.356245,164,1.378531,164
