chunk_size_mb,blocks,matches,reported_time_s,exec_time_s
64,32,524,1.198421,1.373389720916748
64,64,524,0.577166,0.7535572052001953
64,128,524,0.480084,0.65362548828125
64,256,524,0.436137,0.6130740642547607
64,512,524,0.417729,0.5946524143218994
128,32,524,0.747999,0.924138069152832
128,64,524,0.575687,0.7523744106292725
128,128,524,0.493845,0.6691837310791016
128,256,524,0.45305,0.6288943290710449
128,512,524,0.431723,0.6079769134521484
256,32,524,0.781058,0.9583203792572021
256,64,524,0.611526,0.7892589569091797
256,128,524,0.522599,0.6979379653930664
256,256,524,0.482376,0.6601223945617676
256,512,524,0.459686,0.6382653713226318
512,32,524,0.829679,1.0090651512145996
512,64,524,0.679247,0.8602592945098877
512,128,524,0.578663,0.7554268836975098
512,256,524,0.532453,0.7093822956085205
512,512,524,0.513272,0.6894841194152832
